,Player,G,MP,FG,FGA,3P,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FT%,FG%,d_FG%,d_FT%
26,Harrison Barnes,19.0,665.0,110.0,230.0,1.9473684210526316,104.0,123.0,26.0,110.0,7.157894736842105,2.4210526315789473,1.0,0.15789473684210525,2.0526315789473686,27.0,19.0,84.55284552845528,47.82608695652174,389.14305629842823,988.0997448946248
27,Scottie Barnes,18.0,633.0,110.0,225.0,0.2777777777777778,43.0,59.0,53.0,97.0,8.333333333333334,3.3333333333333335,1.0555555555555556,0.5555555555555556,2.0555555555555554,47.0,14.88888888888889,72.88135593220339,48.888888888888886,506.05126885881407,-93.33281196124594
28,RJ Barrett,19.0,617.0,100.0,258.0,1.736842105263158,43.0,60.0,11.0,102.0,5.947368421052632,2.263157894736842,0.47368421052631576,0.3157894736842105,1.8421052631578947,43.0,14.526315789473685,71.66666666666667,38.75968992248062,-552.8732885873594,-145.56445037932488
29,Will Barton,17.0,571.0,109.0,241.0,2.411764705882353,18.0,27.0,11.0,80.0,5.352941176470588,4.294117647058823,1.0588235294117647,0.47058823529411764,1.7058823529411764,20.0,16.294117647058822,66.66666666666667,45.22821576763486,102.4374325615903,-150.93395597274065
30,Charles Bassey,10.0,81.0,12.0,18.0,0.0,5.0,7.0,10.0,19.0,2.9,0.2,0.1,0.7,0.3,11.0,2.9,71.42857142857143,66.66666666666667,268.5389262997495,-18.11657507179305
31,Keita Bates-Diop,14.0,193.0,19.0,42.0,0.07142857142857142,4.0,4.0,10.0,35.0,3.2142857142857144,0.21428571428571427,0.35714285714285715,0.42857142857142855,0.6428571428571429,7.0,3.0714285714285716,100.0,45.23809523809524,18.043776165079535,99.79245422827984
32,Nicolas Batum,14.0,386.0,50.0,96.0,2.2857142857142856,5.0,10.0,7.0,70.0,5.5,1.5,1.1428571428571428,0.7857142857142857,0.7857142857142857,17.0,9.785714285714286,50.0,52.083333333333336,389.74552624895614,-125.2594322146502
33,Kent Bazemore,16.0,344.0,26.0,79.0,0.75,10.0,13.0,4.0,30.0,2.125,0.875,1.0,0.3125,0.5,42.0,4.625,76.92307692307692,32.91139240506329,-295.802790485564,18.71190480146879
34,Darius Bazley,19.0,541.0,67.0,187.0,1.105263157894737,21.0,36.0,19.0,111.0,6.842105263157895,1.4736842105263157,0.631578947368421,1.1578947368421053,1.4210526315789473,16.0,9.263157894736842,58.333333333333336,35.82887700534759,-566.7895688014435,-351.0896153015308
35,Bradley Beal,16.0,573.0,140.0,327.0,1.8125,60.0,64.0,14.0,70.0,5.25,5.8125,1.0,0.375,4.0,37.0,23.0625,93.75,42.813455657492355,-206.49540112066006,1121.8868134241975
36,Malik Beasley,19.0,484.0,71.0,204.0,2.6315789473684212,11.0,16.0,7.0,45.0,2.736842105263158,1.5789473684210527,0.7368421052631579,0.15789473684210525,0.5789473684210527,20.0,10.68421052631579,68.75,34.80392156862745,-673.3995880206,-69.32075087223045
37,DeAndre' Bembry,18.0,334.0,38.0,73.0,0.3888888888888889,9.0,15.0,10.0,40.0,2.7777777777777777,1.0555555555555556,0.9444444444444444,0.4444444444444444,0.7222222222222222,41.0,5.111111111111111,60.0,52.054794520547944,295.12212506336175,-135.46697798637035
38,Davis Bertans,9.0,153.0,14.0,51.0,1.2222222222222223,12.0,12.0,3.0,14.0,1.8888888888888888,0.5555555555555556,0.2222222222222222,0.0,0.4444444444444444,15.0,5.666666666666667,100.0,27.45098039215686,-235.72419382676293,299.3773626848395
39,Patrick Beverley,16.0,406.0,49.0,107.0,1.1875,12.0,17.0,23.0,47.0,4.375,4.5,0.875,1.0,1.1875,50.0,8.0625,70.58823529411765,45.794392523364486,73.79251603550341,-53.563813785748664
40,Saddiq Bey,19.0,617.0,95.0,258.0,1.9473684210526316,28.0,39.0,39.0,79.0,6.2105263157894735,2.473684210526316,0.9473684210526315,0.21052631578947367,1.368421052631579,32.0,13.421052631578947,71.7948717948718,36.82170542635659,-709.3381512897745,-91.19641014563086
41,Khem Birch,15.0,344.0,40.0,80.0,0.0,24.0,33.0,48.0,37.0,5.666666666666667,1.3333333333333333,1.0,0.4666666666666667,0.6,27.0,6.933333333333334,72.72727272727273,50.0,228.4630876658315,-55.79072917577537
42,Goga Bitadze,14.0,127.0,14.0,47.0,0.2857142857142857,10.0,15.0,16.0,18.0,2.4285714285714284,0.21428571428571427,0.6428571428571429,0.6428571428571429,0.35714285714285715,25.0,3.0,66.66666666666667,29.78723404255319,-203.0166427212143,-83.8521977626337
43,Nemanja Bjelica,19.0,273.0,44.0,96.0,0.9473684210526315,17.0,21.0,17.0,58.0,3.9473684210526314,1.5789473684210527,0.7894736842105263,0.3157894736842105,1.1578947368421053,20.0,6.473684210526316,80.95238095238095,45.833333333333336,67.97606309908141,100.30840666066544
44,Eric Bledsoe,19.0,534.0,69.0,170.0,0.8421052631578947,31.0,36.0,12.0,66.0,4.105263157894737,3.6315789473684212,1.4210526315789473,0.5263157894736842,2.263157894736842,35.0,9.736842105263158,86.11111111111111,40.588235294117645,-255.31293848232318,342.8359647136133
45,Bogdan Bogdanovic,19.0,553.0,88.0,195.0,2.263157894736842,11.0,14.0,7.0,63.0,3.6842105263157894,2.526315789473684,0.631578947368421,0.21052631578947367,0.9473684210526315,38.0,12.105263157894736,78.57142857142857,45.12820512820513,73.90084414688084,38.714963413483815
46,Bojan Bogdanovic,19.0,572.0,111.0,239.0,2.526315789473684,61.0,66.0,16.0,65.0,4.2631578947368425,1.736842105263158,0.47368421052631576,0.05263157894736842,1.631578947368421,23.0,17.42105263157895,92.42424242424242,46.44351464435147,239.2151937956952,1059.7137148600552
47,Bol Bol,9.0,46.0,7.0,15.0,0.0,1.0,3.0,2.0,12.0,1.5555555555555556,0.2222222222222222,0.1111111111111111,0.2222222222222222,0.0,3.0,1.6666666666666667,33.333333333333336,46.666666666666664,16.64770700818716,-41.718553109596705
48,Leandro Bolmaro,8.0,30.0,4.0,11.0,0.125,3.0,3.0,4.0,7.0,1.375,0.375,0.0,0.0,0.625,3.0,1.5,100.0,36.36363636363637,-31.699145778871383,74.84434067120988
49,Isaac Bonga,4.0,8.0,1.0,2.0,0.0,0.0,0.0,1.0,1.0,0.5,0.5,0.25,0.0,0.0,1.0,0.5,,50.0,5.711577191645787,
50,Devin Booker,19.0,629.0,167.0,366.0,2.4210526315789473,68.0,81.0,17.0,83.0,5.2631578947368425,4.684210526315789,0.9473684210526315,0.2631578947368421,2.789473684210526,43.0,23.57894736842105,83.95061728395062,45.62841530054645,223.7787461961037,605.1136971893994
51,Brandon Boston Jr.,7.0,55.0,7.0,21.0,0.2857142857142857,4.0,5.0,0.0,7.0,1.0,0.42857142857142855,0.5714285714285714,0.14285714285714285,0.2857142857142857,2.0,2.857142857142857,80.0,33.333333333333336,-76.68562632514613,19.792454228279837
52,Chris Boucher,19.0,265.0,43.0,113.0,0.5263157894736842,16.0,24.0,27.0,51.0,4.105263157894737,0.3157894736842105,0.5789473684210527,0.7368421052631579,0.5789473684210527,25.0,5.894736842105263,66.66666666666667,38.05309734513274,-268.1189949185233,-134.1635164202139
53,James Bouknight,7.0,12.0,0.0,6.0,0.0,2.0,2.0,1.0,1.0,0.2857142857142857,0.2857142857142857,0.0,0.0,0.0,1.0,0.2857142857142857,100.0,0.0,-0.0,49.89622711413992
54,Avery Bradley,20.0,449.0,40.0,100.0,1.1,2.0,2.0,10.0,42.0,2.6,0.85,0.55,0.2,0.6,29.0,5.2,100.0,40.0,-171.5369123341685,49.89622711413992
55,Tony Bradley,17.0,222.0,29.0,52.0,0.0,4.0,5.0,25.0,46.0,4.176470588235294,0.4117647058823529,0.058823529411764705,0.5882352941176471,0.7058823529411765,25.0,3.6470588235294117,80.0,55.76923076923077,332.94343086542005,19.792454228279837
56,Ignas Brazdeikis,10.0,86.0,7.0,27.0,0.3,1.0,2.0,5.0,12.0,1.7,0.5,0.2,0.0,0.3,10.0,1.8,50.0,25.925925925925927,-128.537478176998,-25.05188644293004
57,Mikal Bridges,19.0,642.0,100.0,183.0,1.4210526315789473,18.0,22.0,12.0,61.0,3.8421052631578947,1.894736842105263,1.0526315789473684,0.631578947368421,0.6842105263157895,44.0,12.894736842105264,81.81818181818181,54.6448087431694,1035.6385934815187,121.7933167545319
58,Miles Bridges,21.0,764.0,156.0,350.0,2.238095238095238,65.0,86.0,30.0,127.0,7.476190476190476,3.3333333333333335,1.380952380952381,0.9047619047619048,1.6666666666666667,60.0,20.19047619047619,75.5813953488372,44.57142857142857,44.148899039599655,34.41807888396568
59,Oshae Brissett,11.0,126.0,14.0,36.0,0.45454545454545453,1.0,5.0,4.0,20.0,2.1818181818181817,0.36363636363636365,0.18181818181818182,0.18181818181818182,0.7272727272727273,10.0,3.090909090909091,20.0,38.888888888888886,-75.59347487251458,-55.05188644293004
60,Malcolm Brogdon,16.0,561.0,119.0,259.0,2.0625,60.0,68.0,16.0,80.0,6.0,6.1875,0.6875,0.6875,2.5625,35.0,20.6875,88.23529411764706,45.945945945945944,197.245253373416,791.004460483021
61,Armoni Brooks,14.0,132.0,19.0,54.0,1.0714285714285714,7.0,8.0,3.0,13.0,1.1428571428571428,0.42857142857142855,0.42857142857142855,0.07142857142857142,0.21428571428571427,12.0,4.285714285714286,87.5,35.18518518518518,-172.96151484021155,87.13679489948971
62,Dillon Brooks,6.0,151.0,39.0,94.0,1.8333333333333333,20.0,23.0,5.0,14.0,3.1666666666666665,2.5,0.8333333333333334,0.16666666666666666,1.8333333333333333,21.0,18.166666666666668,86.95652173913044,41.48936170212766,-109.16338314283556,238.09270592400793
63,Bruce Brown,16.0,408.0,54.0,113.0,0.4375,9.0,12.0,16.0,51.0,4.1875,1.1875,1.5,0.5625,0.6875,36.0,7.75,75.0,47.78761061946903,188.95614180020004,-0.4669779863703667
64,Greg Brown III,7.0,34.0,7.0,18.0,0.0,2.0,5.0,4.0,8.0,1.7142857142857142,0.5714285714285714,0.2857142857142857,0.42857142857142855,0.2857142857142857,5.0,2.2857142857142856,40.0,38.888888888888886,-37.79673743625729,-70.10377288586008
65,Jaylen Brown,11.0,366.0,92.0,196.0,2.6363636363636362,40.0,51.0,4.0,57.0,5.545454545454546,2.090909090909091,1.1818181818181819,0.5454545454545454,2.5454545454545454,33.0,23.0,78.43137254901961,46.93877551020408,243.83244857018792,135.1794442435829
66,Moses Brown,6.0,18.0,2.0,2.0,0.0,2.0,6.0,1.0,4.0,0.8333333333333334,0.0,0.0,0.3333333333333333,0.0,2.0,1.0,33.333333333333336,100.0,111.42315438329157,-83.43710621919341
67,Sterling Brown,15.0,177.0,12.0,43.0,0.4666666666666667,4.0,4.0,9.0,35.0,2.933333333333333,0.6666666666666666,0.4,0.13333333333333333,0.6,18.0,2.3333333333333335,100.0,27.906976744186046,-196.577352770018,99.79245422827984
68,Troy Brown Jr.,13.0,124.0,18.0,42.0,0.5384615384615384,2.0,4.0,3.0,18.0,1.6153846153846154,0.46153846153846156,0.15384615384615385,0.0,0.23076923076923078,10.0,3.4615384615384617,50.0,42.857142857142854,-25.763039121804454,-50.10377288586008
69,Jalen Brunson,17.0,496.0,100.0,203.0,1.1176470588235294,37.0,46.0,8.0,67.0,4.411764705882353,5.294117647058823,0.8823529411764706,0.058823529411764705,1.588235294117647,31.0,15.058823529411764,80.43478260869566,49.26108374384236,497.26609354881504,199.16715813332775
