,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
456,Paul Watson,SF,26.0,TOR,13.0,0.0,42.0,9.0,14.0,0.643,8.0,11.0,0.727,1.0,3.0,0.333,0.929,0.0,0.0,,1.0,8.0,9.0,2.0,0.0,2.0,1.0,7.0,26.0
457,Quinndary Weatherspoon,SG,24.0,SAS,5.0,0.0,24.0,1.0,5.0,0.2,0.0,1.0,0.0,1.0,4.0,0.25,0.2,2.0,2.0,1.0,0.0,2.0,2.0,3.0,1.0,0.0,6.0,7.0,4.0
458,Russell Westbrook,PG,32.0,WAS,16.0,16.0,529.0,119.0,284.0,0.419,23.0,71.0,0.324,96.0,213.0,0.451,0.46,57.0,87.0,0.655,25.0,119.0,144.0,143.0,13.0,6.0,78.0,45.0,318.0
459,Coby White,PG,20.0,CHI,25.0,25.0,836.0,140.0,344.0,0.407,62.0,171.0,0.363,78.0,173.0,0.451,0.497,47.0,54.0,0.87,9.0,106.0,115.0,134.0,10.0,3.0,60.0,61.0,389.0
460,Derrick White,SG,26.0,SAS,7.0,3.0,162.0,25.0,71.0,0.352,11.0,36.0,0.306,14.0,35.0,0.4,0.43,8.0,10.0,0.8,1.0,11.0,12.0,27.0,4.0,8.0,7.0,15.0,69.0
461,Hassan Whiteside,C,31.0,SAC,18.0,0.0,257.0,57.0,96.0,0.594,0.0,1.0,0.0,57.0,95.0,0.6,0.594,25.0,48.0,0.521,25.0,67.0,92.0,8.0,5.0,20.0,16.0,30.0,139.0
462,Andrew Wiggins,PF,25.0,GSW,27.0,27.0,866.0,182.0,388.0,0.469,50.0,137.0,0.365,132.0,251.0,0.526,0.534,61.0,93.0,0.656,26.0,100.0,126.0,59.0,18.0,37.0,42.0,65.0,475.0
463,Grant Williams,PF,22.0,BOS,22.0,6.0,428.0,44.0,95.0,0.463,22.0,50.0,0.44,22.0,45.0,0.489,0.579,15.0,29.0,0.517,23.0,47.0,70.0,19.0,11.0,10.0,20.0,66.0,125.0
464,Kenrich Williams,PF,26.0,OKC,25.0,4.0,434.0,59.0,110.0,0.536,14.0,31.0,0.452,45.0,79.0,0.57,0.6,10.0,16.0,0.625,37.0,56.0,93.0,39.0,18.0,5.0,19.0,40.0,142.0
465,Lou Williams,PG,34.0,LAC,25.0,0.0,523.0,99.0,231.0,0.429,26.0,66.0,0.394,73.0,165.0,0.442,0.485,58.0,67.0,0.866,10.0,47.0,57.0,84.0,21.0,3.0,34.0,25.0,282.0
466,Patrick Williams,PF,19.0,CHI,24.0,24.0,664.0,89.0,194.0,0.459,21.0,54.0,0.389,68.0,140.0,0.486,0.513,41.0,52.0,0.788,20.0,85.0,105.0,25.0,18.0,16.0,36.0,56.0,240.0
467,Robert Williams,C,23.0,BOS,18.0,0.0,268.0,47.0,65.0,0.723,0.0,1.0,0.0,47.0,64.0,0.734,0.723,13.0,17.0,0.765,40.0,58.0,98.0,12.0,16.0,21.0,20.0,27.0,107.0
468,Zion Williamson,PF,20.0,NOP,24.0,24.0,782.0,225.0,367.0,0.613,4.0,13.0,0.308,221.0,354.0,0.624,0.619,129.0,184.0,0.701,59.0,103.0,162.0,70.0,24.0,17.0,57.0,64.0,583.0
469,D.J. Wilson,PF,24.0,MIL,10.0,0.0,94.0,14.0,37.0,0.378,8.0,23.0,0.348,6.0,14.0,0.429,0.486,1.0,2.0,0.5,3.0,19.0,22.0,3.0,1.0,3.0,4.0,12.0,37.0
470,Dylan Windler,SF,24.0,CLE,14.0,0.0,238.0,29.0,61.0,0.475,12.0,40.0,0.3,17.0,21.0,0.81,0.574,15.0,17.0,0.882,11.0,43.0,54.0,14.0,9.0,7.0,15.0,16.0,85.0
471,Cassius Winston,PG,22.0,WAS,6.0,0.0,44.0,4.0,10.0,0.4,3.0,7.0,0.429,1.0,3.0,0.333,0.55,2.0,2.0,1.0,0.0,4.0,4.0,6.0,0.0,1.0,1.0,4.0,13.0
472,James Wiseman,C,19.0,GSW,20.0,16.0,419.0,98.0,195.0,0.503,9.0,22.0,0.409,89.0,173.0,0.514,0.526,38.0,61.0,0.623,30.0,92.0,122.0,14.0,8.0,26.0,32.0,63.0,243.0
473,Christian Wood,C,25.0,HOU,17.0,17.0,530.0,149.0,267.0,0.558,32.0,76.0,0.421,117.0,191.0,0.613,0.618,44.0,64.0,0.688,31.0,143.0,174.0,22.0,16.0,26.0,31.0,32.0,374.0
474,Robert Woodard,SF,21.0,SAC,6.0,0.0,17.0,6.0,11.0,0.545,1.0,3.0,0.333,5.0,8.0,0.625,0.591,0.0,2.0,0.0,3.0,5.0,8.0,0.0,0.0,0.0,1.0,0.0,13.0
475,Delon Wright,SG,28.0,DET,26.0,21.0,748.0,93.0,212.0,0.439,23.0,65.0,0.354,70.0,147.0,0.476,0.493,56.0,73.0,0.767,30.0,89.0,119.0,127.0,37.0,15.0,31.0,28.0,265.0
476,Thaddeus Young,PF,32.0,CHI,21.0,0.0,538.0,108.0,183.0,0.59,5.0,20.0,0.25,103.0,163.0,0.632,0.604,15.0,29.0,0.517,47.0,66.0,113.0,90.0,28.0,10.0,41.0,57.0,236.0
477,Trae Young,PG,22.0,ATL,24.0,24.0,826.0,177.0,420.0,0.421,54.0,147.0,0.367,123.0,273.0,0.451,0.486,217.0,245.0,0.886,18.0,76.0,94.0,225.0,17.0,7.0,99.0,50.0,625.0
478,Cody Zeller,C,28.0,CHO,14.0,11.0,339.0,58.0,113.0,0.513,3.0,16.0,0.188,55.0,97.0,0.567,0.527,22.0,29.0,0.759,37.0,71.0,108.0,35.0,10.0,8.0,13.0,36.0,141.0
479,Ivica Zubac,C,23.0,LAC,27.0,1.0,521.0,81.0,123.0,0.659,0.0,1.0,0.0,81.0,122.0,0.664,0.659,53.0,63.0,0.841,61.0,115.0,176.0,28.0,10.0,24.0,28.0,68.0,215.0
